Node,SIR
1,33.875
2,11.027
3,25.58
4,34.164
5,4.89
6,43.088
7,4.897
8,40.284
9,4.24
10,215.527
11,11.802
3942,32.374
3586,14.009
2937,16.585
3717,41.616
4814,10.423
6629,16.17
7341,13.202
7780,34.826
6878,16.928
973,34.389
2318,16.752
430,41.088
3493,33.079
474,10.957
1944,28.086
4544,170.814
12,10.398
13,16.661
14,39.581
15,41.661
16,22.152
17,209.025
18,29.559
19,28.008
20,8.368
21,4.584
3711,33.142
2352,21.166
5477,7.353
7252,9.423
7026,12.199
52,40.109
931,14.107
81,397.523
2354,20.837
28,33.707
3539,72.125
729,26.234
22,210.436
23,16.125
24,43.462
25,24.244
26,5.722
27,50.701
29,37.715
30,41.257
31,35.321
1278,34.962
1502,39.261
5338,33.269
3200,22.144
32,280.273
33,377.071
34,401.958
35,403.391
36,401.15
37,372.254
38,383.928
39,397.232
40,292.929
41,386.105
3825,24.237
5319,26.696
5858,22.461
5917,26.968
6732,34.833
5404,35.126
42,15.763
43,10.893
44,9.651
45,12.837
46,24.615
47,5.89
48,2.238
49,25.0
50,1.705
51,3.956
1564,40.919
1513,22.302
1530,8.38
1343,4.67
1531,15.157
1532,7.835
1533,16.789
1534,15.899
1631,26.738
7046,8.141
8070,12.337
262,38.828
1569,13.27
1296,5.852
169,29.412
469,6.552
1632,1.17
1633,5.2
1634,29.311
1635,1.697
1636,8.653
1247,17.856
399,16.811
2259,9.001
2549,19.181
2550,10.051
451,54.745
2551,4.159
604,147.25
2552,205.121
2553,25.988
3734,26.923
5612,33.235
3206,16.675
539,210.28
71,25.405
635,11.05
2556,20.182
2576,36.296
917,52.383
3212,8.16
3213,11.228
2678,105.208
3439,19.037
7368,16.55
7964,39.289
8110,100.379
1940,48.332
2301,49.305
3491,30.65
2615,12.443
4133,40.5
5306,75.946
864,31.711
185,372.601
80,405.377
320,375.859
447,387.546
189,369.866
1340,251.27
448,355.589
1100,7.432
256,44.004
1505,75.449
4268,9.029
4269,205.214
1862,31.695
561,35.569
3936,6.868
2725,37.319
2842,10.785
4270,9.644
4271,7.792
4272,8.642
4273,20.974
1739,44.81
4787,30.996
2715,57.914
4294,13.735
3819,36.802
711,33.721
288,345.592
314,334.005
271,397.717
191,391.12
100,396.6
110,407.289
112,394.837
193,305.536
2952,45.421
4206,25.822
4136,21.153
6319,19.033
6535,69.259
2311,12.746
1653,20.504
4400,43.896
5345,35.24
7157,32.602
7488,52.173
5836,17.047
7713,14.102
303,56.637
2843,21.158
188,83.145
748,18.731
2463,14.865
2003,11.848
2004,8.667
2853,13.094
1032,43.995
1972,5.161
1553,22.417
2854,4.781
3523,17.949
1153,23.73
2233,55.522
2474,19.795
3429,31.524
5159,39.426
6078,23.65
7451,22.134
2571,17.915
3146,23.278
200,26.566
3528,13.589
2671,26.472
692,10.741
1942,72.316
2150,27.586
219,15.223
1381,11.166
3786,18.124
4210,3.797
175,137.39
520,52.849
205,41.42
1097,2.791
3378,17.3
716,19.21
795,7.319
2990,4.43
4258,4.563
4259,4.488
182,23.193
823,46.567
3005,35.417
4971,14.496
6923,11.417
995,24.477
2144,29.982
3398,51.888
1244,192.544
2237,14.326
1842,16.725
517,22.041
1536,32.332
2176,4.91
4260,12.621
4261,17.104
4262,5.201
3176,28.683
3399,47.862
4184,22.982
5425,17.663
6433,14.719
7040,10.882
7496,12.626
3365,44.075
1424,208.742
504,196.97
184,27.698
1299,7.628
1523,8.83
1524,5.997
2449,12.372
4155,22.074
4263,16.627
1198,18.603
3546,9.153
419,41.943
1501,61.624
2320,15.506
1610,173.939
472,10.758
1645,6.155
3309,12.436
3704,19.984
3163,12.411
4264,7.119
4265,2.487
1422,12.408
318,200.51
1282,182.666
407,190.711
1834,211.036
1963,207.526
1990,191.506
2030,197.86
102,391.659
1024,204.692
2677,164.514
276,410.988
2844,192.66
1507,149.316
3933,208.39
4046,184.387
1321,149.564
122,200.03
868,197.952
1686,206.853
1815,201.468
2066,41.236
3345,196.31
3678,201.325
4215,191.788
4318,177.562
1978,200.831
4667,209.506
5108,19.323
5443,196.094
6610,119.079
6986,29.769
6054,40.148
93,126.301
360,222.176
361,32.275
362,43.733
363,60.605
364,25.927
365,32.838
226,35.825
366,30.75
367,33.325
501,217.731
204,197.755
1514,188.895
1587,43.986
393,214.231
1748,217.481
1991,39.419
101,410.015
616,154.413
2194,178.915
466,45.556
3023,189.457
740,207.363
1417,204.34
505,227.07
3740,212.638
3932,196.268
3990,195.551
4076,211.047
4139,29.498
4141,100.952
606,203.048
600,200.363
700,201.117
1228,195.723
2222,223.367
2543,200.052
2580,188.371
2796,207.688
2992,197.984
3190,37.11
3284,211.433
3707,197.588
3694,190.222
3696,213.246
3778,162.659
3946,197.359
4156,217.868
4162,88.828
4232,204.047
2428,175.565
4434,199.963
4500,200.087
4564,85.361
5090,191.091
5109,203.718
5145,197.488
3662,191.361
5248,42.952
5325,52.157
5958,203.811
6002,202.797
6251,200.477
6307,40.251
6902,183.806
5531,194.004
6959,192.681
3629,180.52
7015,185.199
6151,195.11
7471,193.62
7928,193.51
8028,158.71
8043,191.949
316,376.34
368,375.403
187,397.805
108,284.484
348,318.366
369,310.716
489,214.503
1723,192.868
1987,68.788
649,184.416
1730,65.254
2412,198.975
1609,220.897
2499,177.766
3492,209.494
3610,197.954
412,177.722
172,207.798
663,209.138
800,101.679
2224,216.511
2442,197.753
2521,208.313
2922,218.8
3344,32.577
3719,181.513
3752,200.046
4327,203.918
4338,208.664
4306,176.61
4316,214.59
4476,190.337
4625,89.608
4665,222.264
4732,103.514
4733,202.161
4739,216.491
5184,188.265
5282,207.501
5303,180.595
5343,187.602
5543,207.104
5671,202.512
5760,209.561
5821,194.304
6020,203.07
7113,187.832
7911,221.529
162,183.05
165,197.631
341,404.863
186,369.094
391,349.837
346,390.307
349,394.044
342,411.252
1110,254.736
1112,198.529
2674,208.54
2513,204.853
113,384.722
3300,186.45
1780,214.551
2813,210.837
4228,67.799
548,150.26
1565,70.501
1668,197.277
1885,217.187
1955,175.162
2084,188.647
2441,204.775
3217,128.635
3357,201.874
4511,223.886
4718,185.393
4785,196.676
4789,174.313
4783,189.15
4832,189.876
5483,166.383
5522,187.093
5548,200.381
5735,209.439
5883,178.198
5894,205.175
6023,183.057
7450,114.698
4765,172.419
8013,161.734
390,206.594
639,199.918
978,221.232
1482,195.338
1483,64.534
104,87.108
1484,37.579
789,38.242
1485,26.74
1486,24.971
1487,34.97
1488,32.662
1489,128.442
1490,44.549
2216,200.086
2404,188.154
1841,186.545
2435,197.752
2502,84.167
1974,194.963
671,154.951
3107,216.874
608,198.85
1419,97.962
1814,211.67
