Node,SIR
0,87.951
2,147.073
12,29.0
21,35.362
25,33.838
33,46.163
45,27.261
54,26.249
69,23.317
78,19.108
131,14.38
164,18.247
209,29.343
211,21.069
217,36.747
225,18.275
254,13.589
301,23.932
325,17.974
366,18.898
430,23.48
439,20.663
456,12.552
496,12.961
505,20.293
540,17.863
558,30.079
574,26.182
593,13.118
639,12.779
823,17.272
837,14.757
845,14.175
888,13.647
929,14.355
930,12.091
1022,28.027
1037,15.463
1076,11.522
1141,20.37
1151,19.364
1237,12.852
1239,13.341
1267,13.96
1269,17.373
1316,13.92
1403,12.91
1427,13.815
1571,14.405
1589,13.774
1606,13.041
1609,12.115
1624,11.251
1640,14.07
1722,16.2
1732,19.636
1771,11.49
1831,27.901
1836,14.202
1840,12.047
1888,13.291
1892,16.565
2042,12.328
2068,12.913
2298,11.848
2313,14.858
2394,16.208
2545,13.866
2564,13.136
2588,13.26
2646,11.094
2740,12.478
2786,11.503
2796,12.729
2881,11.188
2894,11.268
2911,11.892
2923,13.724
2934,14.497
2970,13.09
2975,12.838
3032,9.916
3105,12.007
3163,14.085
3209,11.432
3287,12.681
3364,8.74
3368,14.385
3446,13.461
3524,11.728
3833,9.158
3839,12.281
3853,13.084
4023,12.608
4345,12.796
4349,10.183
4363,16.196
4675,12.893
4735,11.119
4905,16.195
4971,11.547
4979,12.693
4993,14.022
5064,12.849
5096,10.481
5133,19.393
5229,23.965
5324,11.068
5347,14.914
5434,11.581
5468,9.959
5595,14.72
5668,15.903
5787,12.702
5860,9.833
5916,12.445
6254,10.035
6320,16.08
6347,11.024
6530,12.226
6637,11.233
6895,10.001
6961,12.868
7035,14.146
7118,10.03
7261,13.058
7277,15.01
7353,13.405
7541,13.789
7560,14.532
7650,12.728
7720,15.794
7731,14.047
1,69.978
3,90.325
7,109.161
13,45.894
16,23.263
17,53.687
18,61.548
87,25.348
265,21.944
564,14.146
648,9.868
903,12.435
1607,11.296
1697,9.09
1779,10.705
1805,9.544
1858,15.727
1923,14.131
2003,21.726
2546,14.93
2574,7.797
2636,17.441
2678,14.054
3766,9.582
4053,25.845
4610,10.277
5081,8.485
5460,10.036
6869,10.023
7112,6.814
4,126.324
6,56.269
8,37.102
10,70.077
14,52.844
24,46.824
27,36.387
31,59.848
32,44.147
35,34.729
36,34.138
41,39.148
44,42.384
47,27.487
49,20.174
52,38.688
56,48.324
63,56.951
64,30.639
74,22.012
79,25.349
83,30.206
88,27.625
92,31.741
119,23.791
134,55.479
143,19.702
153,26.147
165,36.318
175,23.153
202,35.547
210,35.55
223,29.665
228,22.898
234,23.972
236,29.768
248,27.674
251,23.18
269,27.087
289,29.435
312,27.722
329,26.078
333,23.271
339,23.691
340,23.376
364,18.329
379,28.644
446,20.869
452,28.418
454,23.653
466,17.021
483,36.349
487,21.657
507,30.989
529,18.337
572,19.442
580,25.971
585,29.993
608,30.592
610,33.108
619,19.771
620,18.149
621,24.388
657,21.419
671,18.541
677,26.533
686,20.387
688,17.442
720,21.264
736,27.815
750,21.911
792,24.056
796,19.848
814,27.924
816,24.012
851,26.201
873,23.985
877,24.351
924,19.791
966,22.07
1003,24.875
1014,17.746
1035,27.535
1059,23.668
1064,23.907
1088,17.415
1092,22.838
1131,32.498
1194,22.557
1199,20.66
