Node,SIR
0,31.528
2,58.401
12,10.661
21,11.373
25,11.908
33,16.349
45,8.347
54,7.627
69,7.593
78,6.508
131,4.425
164,6.349
209,9.652
211,6.09
217,11.752
225,5.657
254,4.783
301,7.302
325,5.286
366,4.789
430,6.0
439,5.325
456,3.246
496,4.354
505,5.917
540,6.109
558,8.631
574,8.818
593,4.1
639,4.178
823,5.355
837,5.235
845,4.217
888,3.851
929,4.39
930,5.146
1022,8.332
1037,5.239
1076,3.465
1141,5.08
1151,6.218
1237,4.103
1239,4.41
1267,4.484
1269,5.21
1316,4.37
1403,4.035
1427,3.75
1571,4.379
1589,4.636
1606,3.836
1609,3.543
1624,4.71
1640,5.573
1722,5.128
1732,5.673
1771,3.903
1831,7.275
1836,4.138
1840,4.613
1888,4.074
1892,5.184
2042,3.706
2068,5.241
2298,3.79
2313,4.412
2394,4.732
2545,4.808
2564,4.006
2588,4.115
2646,3.975
2740,3.644
2786,4.285
2796,3.862
2881,3.166
2894,3.969
2911,4.524
2923,5.028
2934,4.93
2970,4.811
2975,4.374
3032,4.32
3105,3.4
3163,3.559
3209,3.789
3287,4.166
3364,4.194
3368,4.322
3446,3.413
3524,3.369
3833,3.545
3839,3.729
3853,4.001
4023,3.582
4345,4.49
4349,3.925
4363,5.011
4675,4.698
4735,3.45
4905,4.583
4971,3.911
4979,3.772
4993,3.134
5064,4.221
5096,4.07
5133,5.407
5229,7.575
5324,4.395
5347,5.008
5434,3.97
5468,3.762
5595,4.497
5668,5.209
5787,4.659
5860,4.614
5916,3.347
6254,2.992
6320,5.413
6347,3.508
6530,4.316
6637,3.954
6895,3.843
6961,5.043
7035,4.108
7118,3.909
7261,3.942
7277,3.994
7353,3.999
7541,3.604
7560,4.791
7650,4.4
7720,4.134
7731,3.543
1,18.951
3,30.454
7,38.971
13,15.6
16,7.27
17,15.497
18,18.589
87,6.152
265,7.094
564,4.287
648,2.872
903,3.466
1607,3.756
1697,3.209
1779,3.935
1805,3.292
1858,4.855
1923,4.537
2003,6.487
2546,4.057
2574,2.459
2636,5.67
2678,5.184
3766,2.846
4053,8.2
4610,3.262
5081,2.965
5460,2.513
6869,3.207
7112,2.151
4,45.613
6,19.56
8,12.119
10,22.422
14,18.487
24,14.447
27,10.649
31,19.507
32,12.345
35,10.408
36,10.242
41,11.286
44,13.068
47,9.312
49,8.65
52,12.246
56,17.755
63,17.275
64,10.896
74,7.442
79,9.271
83,10.279
88,10.193
92,10.352
119,7.444
134,15.95
143,8.892
153,6.937
165,11.456
175,7.499
202,10.562
210,11.703
223,11.119
228,8.517
234,7.48
236,8.88
248,9.592
251,8.144
269,9.326
289,8.582
312,9.247
329,6.409
333,7.914
339,6.426
340,7.48
364,6.219
379,11.152
446,7.421
452,7.386
454,6.698
466,5.903
483,12.878
487,7.484
507,10.646
529,5.758
572,5.795
580,7.066
585,8.873
608,11.317
610,11.917
619,7.262
620,7.275
621,7.748
657,7.463
671,7.496
677,7.933
686,5.622
688,5.265
720,7.143
736,6.978
750,6.958
792,6.959
796,6.535
814,7.565
816,8.019
851,8.611
873,7.779
877,8.437
924,6.297
966,8.081
1003,7.702
1014,8.048
1035,7.553
1059,8.13
1064,6.054
1088,5.505
1092,6.618
1131,9.364
1194,7.708
1199,7.372
1208,7.415
1241,6.455
1281,7.187
1304,7.19
1313,6.417
1337,8.033
1345,8.897
1350,6.78
1366,6.419
1386,7.13
1418,7.121
1503,6.387
1529,6.731
1563,5.959
1566,6.81
1593,5.66
1650,6.1
1661,5.732
1679,7.096
1683,9.024
1684,6.555
1725,5.888
1744,5.514
1754,8.572
1756,5.845
1792,6.017
1798,6.582
1822,6.144
1855,6.83
1882,7.036
1925,7.319
1941,5.776
1959,6.433
1964,7.204
2002,7.256
2024,6.632
2055,6.42
2117,5.738
2137,5.701
2138,7.796
2237,7.658
2251,6.997
2302,6.717
2314,8.007
2446,7.347
2495,6.175
2529,6.32
2543,5.702
2544,6.327
2606,8.268
2613,7.193
2617,5.756
2670,5.173
2758,7.246
2766,6.321
2773,6.29
2789,7.343
2794,6.516
2847,7.589
2917,8.025
2935,7.716
3052,7.707
3103,6.645
3120,11.418
3136,5.572
3156,5.831
3167,4.669
3168,5.368
3177,6.132
3317,5.695
3348,6.523
3430,6.131
3503,6.33
3508,5.809
3641,6.052
3677,9.295
3746,5.961
3767,6.11
3777,13.456
3789,6.391
3811,5.693
3831,6.457
3880,6.92
3908,4.891
3995,6.677
4005,6.803
4018,7.008
4101,6.077
4227,6.084
4228,5.483
4260,5.671
4289,5.661
4313,6.794
4440,6.072
4467,7.044
4567,5.603
4713,6.509
4720,5.826
4750,6.829
4802,7.951
4865,6.164
4898,5.576
4914,6.985
4924,6.897
4938,5.998
4972,6.467
